vlUnitario,qtMaterial,cdMaterial,cdEmbalagem,qtEquivalencia
12.95,1,449,1,1
12.68,50,449,1,1
12.95,9,449,1,1
10.9,10,449,1,1
11.97,3,449,1,1
13.1521,100,449,1,1
10.9,20,449,1,1
13.15,140,449,1,1
13.15,480,449,1,1
13.15,100,449,1,1
13.15,40,449,1,1
13.14999,1.070,449,1,1
13.15,536,449,1,1
13.15,4,449,1,1
13.15,40,449,1,1
13.15,2.000,449,1,1
13.15,6.400,449,1,1
14.99,20,449,1,1
16.124,50,449,1,1
16.124,60,449,1,1
149.9,1,449,1,1
16.03,60,449,1,1
14.99,50,449,1,1
142.52,100,449,5,10
14.252,110,449,1,1
14.99,150,449,1,1
149.9,14,449,1,1
14.252,130,449,1,1
14.252,130,449,1,1
149.9,140,449,5,10
149.9,80,449,5,10
14.252,200,449,1,1
13.15,130,449,1,1
149.9,80,449,5,10
7.37,28,449,1,1
149.9,80,449,5,10
14.252,160,449,1,1
14.252,180,449,1,1
14.252,40,449,1,1
13.15,20,449,1,1
13.15,30,449,1,1
16.51,20,449,1,1
12.59,10,449,1,1
13.15,5,449,1,1
13.05,7,449,1,1
13.15,181,449,1,1
16.04,10,449,1,1
12.71,40,449,1,1
13.15,37,449,1,1
13.15,32,449,1,1
13.15,100,449,1,1
13.15,30,449,1,1
16.03,150,449,1,1
13.09,8,449,1,1
13.09,1,449,1,1
13.2,80,449,1,1
13.15,150,449,1,1
13.12,5,449,1,1
13.12,5,449,1,1
13.12,45,449,1,1
13.15,10,449,1,1
13.15,10,449,1,1
13.12,5,449,1,1
13.12,5,449,1,1
13.15,12,449,1,1
13.15,13,449,1,1
13.15,23,449,1,1
16.12,30,449,1,1
13.15,20,449,1,1
56.35,657,449,1,1
13.81,7,449,1,1
13.82,1,449,1,1
11.52455,189,449,1,1
16.03,370,449,1,1
161.9,324,449,1,1
94.64496,117,449,1,1
143.11243,37,449,1,1
15.5651,51,449,1,1
22.59051,39,449,1,1
24.5625,32,449,1,1
11.112,514,449,1,1
137.13077,26,449,1,1
161.24,133,449,1,1
134.00794,34,449,1,1
12.25667,27,449,1,1
41.83422,90,449,1,1
61.1675,4,449,1,1
14.97628,180,449,1,1
11.59885,130,449,1,1
133.3566,50,449,1,1
19.43,1,449,1,1
137.13095,21,449,1,1
137.13,1,449,1,1
14.71023,300,449,1,1
40.536,150,449,1,1
13.19261,23,449,1,1
12.635,6,449,1,1
16.1875,4,449,1,1
14.64095,105,449,1,1
14.252,25,449,1,1
161.24,61,449,1,1
61.16642,53,449,1,1
142.52,288,449,1,1
142.52,288,449,1,1
92.05,52,449,1,1
85.2208,113,449,1,1
161.24,79,449,1,1
16.11438,16,449,1,1
14.99,3,449,1,1
14.252,10,449,1,1
14.252,150,449,1,1
16.124,160,449,1,1
14.252,50,449,1,1
15.96,91,449,1,1
15.08,154,449,1,1
14.25,130,449,1,1
12.67,37,449,1,1
17.61,"1,130",449,1,1
13.15,90,449,1,1
13.29,212,449,1,1
103,20,449,5,10
10.3,380,449,1,1
15.966,90,449,1,1
14.99,350,449,1,1
13.47,165,449,1,1
15.05,60,449,1,1
15.69892,65,449,1,1
92,4,449,1,1
16.38,675,449,1,1
66.00457,35,449,1,1
660,30,449,5,10
15.07,67,449,1,1
15.07,20,449,1,1
14.16,518,449,1,1
11.65,65,449,1,1
13.15,356,449,1,1
9.12,66,449,1,1
91.2,20,449,5,10
12.48,95,449,1,1
12.27609,169,449,1,1
11.15,400,449,1,1
11.08,139,449,1,1
15.40657,35,449,1,1
15.49,39,449,1,1
14.73,360,449,1,1
11.46111,90,449,1,1
11.37,120,449,1,1
11.37,148,449,1,1
11.37,160,449,1,1
11.37,61,449,1,1
11.37,100,449,1,1
11.37,72,449,1,1
113.7,20,449,5,10
11.37,65,449,1,1
16.12,40,449,1,1
15.56,114,449,1,1
12.27,736,449,1,1
12.73943,348,449,1,1
14.07,120,449,1,1
11.75,72,449,1,1
11.96,385,449,1,1
11.96,443,449,1,1
11.96,387,449,1,1
11.96,600,449,1,1
11.96,68,449,1,1
11.96,2,449,1,1
13.02,154,449,1,1
14.45,56,449,1,1
11.54,86,449,1,1
24.4456,209,449,1,1
16.52171,70,449,1,1
13.47,45,449,1,1
16.02143,70,449,1,1
12.87,773,449,1,1
16.03,20,449,1,1
13.5834,97,449,1,1
16.03,250,449,1,1
13.43,169,449,1,1
15.32,71,449,1,1
13.7,348,449,1,1
13.02,294,449,1,1
14.89,"1,102",449,1,1
12.32,10,449,1,1
13.03,158,449,1,1
13.15,100,449,1,1
12.28,"1,197",449,1,1
52.1,2,449,4,1
52.08,6,449,1,1
15.99867,90,449,1,1
14.58,96,449,1,1
12,99,449,1,1
13.15,45,449,1,1
14.252,290,449,1,1
10.34,278,449,1,1
13.33,137,449,1,1
13.94806,72,449,1,1
13.47467,300,449,1,1
16.46306,72,449,1,1
16.52,190,449,1,1
11.98,20,449,1,1
13.15,32,449,1,1
15.42,10,449,1,1
15.8,15,449,1,1
15.58,69,449,1,1
14.446,700,449,1,1
13.14,19,449,1,1
13.13,49,449,1,1
12.27,"1,188",449,1,1
21.56409,44,449,1,1
12.25,730,449,1,1
13.08068,59,449,1,1
9.93755,392,449,1,1
15.01,59,449,1,1
26.41364,44,449,1,1
13.45,35,449,1,1
8.22,69,449,1,1
12.86,110,449,1,1
11.48,69,449,1,1
13,535,449,1,1
12.64,"1,246",449,1,1
12.94,81,449,1,1
13.04,682,449,1,1
19.78,166,449,1,1
13.14,447,449,1,1
13.15,69,449,1,1
12.83,169,449,1,1
23.25,200,449,1,1
13.03,102,449,1,1
13.15,55,449,1,1
12.87,419,449,1,1
11.97,36,449,1,1
12.95,801,449,1,1
11.97,"1,108",449,1,1
12.9191,67,449,1,1
13.14,238,449,1,1
12.68,"2,462",449,1,1
12.49,172,449,1,1
13.21,269,449,1,1
13.06,186,449,1,1
13.14868,403,449,1,1
13.06,"1,086",449,1,1
13.1,235,449,1,1
13.15,39,449,1,1
12.77,353,449,1,1
12.54098,244,449,1,1
12.92075,80,449,1,1
129.2,50,449,5,10
14.95,97,449,1,1
16.01,50,449,1,1
160.1,10,449,5,10
12.11,"1,371",449,1,1
16.08,33,449,1,1
12.43,289,449,1,1
15.99071,538,449,1,1
8.3,134,449,1,1
14.52,60,449,1,1
14.25,149,449,1,1
13.15,200,449,1,1
13.11,"5,015",449,1,1
87.1625,96,449,1,1
16.02119,370,449,1,1
15.16,510,449,1,1
15.39,529,449,1,1
13.96,44,449,1,1
15.13,314,449,1,1
13.14,129,449,1,1
10.66,104,449,1,1
14.06,353,449,1,1
14.13,373,449,1,1
13.15,20,449,1,1
14.85,260,449,1,1
14.01,980,449,1,1
15.38,50,449,1,1
21.08731,52,449,1,1
15.91,181,449,1,1
15.6,83,449,1,1
15.29,500,449,1,1
161.9,3,449,1,1
125.20647,17,449,1,1
14.07205,156,449,1,1
10.5,50,449,1,1
12.77641,463,449,1,1
6.07278,374,449,1,1
14.8,54,449,1,1
12.61,8,449,1,1
12.61,27,449,1,1
12.61,31,449,1,1
14.99,108,449,1,1
16.06,20,449,1,1
13.725,264,449,1,1
16.33,66,449,1,1
15.18563,103,449,1,1
14.16,110,449,1,1
14.95,54,449,1,1
14.95,1,449,1,1
15.62,25,449,1,1
15.51,86,449,1,1
13.14,60,449,1,1
12.66,"3,042",449,1,1
14.64,60,449,1,1
10.55902,965,449,1,1
105.5,150,449,5,10
13.52,74,449,1,1
13.52,1,449,1,1
13.52,4,449,1,1
13.496,140,449,1,1
16.52,290,449,1,1
16.03,30,449,1,1
13.77,110,449,1,1
10.68666,497,449,1,1
16.11269,78,449,1,1
17.52,100,449,1,1
13.53,98,449,1,1
15.24,235,449,1,1
14.99,135,449,1,1
12.04,421,449,1,1
11.41,65,449,1,1
114.1,10,449,5,10
14.96286,56,449,1,1
13.19,127,449,1,1
13.19,125,449,1,1
15.15,265,449,1,1
12.96,507,449,1,1
14.2798,51,449,1,1
15,243,449,1,1
15.23606,66,449,1,1
13.08,185,449,1,1
415.4,70,449,5,10
41.54,24,449,1,1
12.79,60,449,1,1
14.39,169,449,1,1
153.4,470,449,5,10
15.34,90,449,1,1
12.34,180,449,1,1
12.7,170,449,1,1
122.86,3,449,1,1
15.53,20,449,1,1
14.99,30,449,1,1
73.44,22,449,1,1
15.13,258,449,1,1
135.74,39,449,1,1
11.58,56,449,1,1
121.20786,14,449,1,1
16.05,48,449,1,1
131.5,5,449,1,1
12.99778,594,449,1,1
12.11,155,449,1,1
13.15,60,449,1,1
102.66,20,449,1,1
110.42,5,449,1,1
16.15,15,449,1,1
12.92286,280,449,1,1
14.28533,259,449,1,1
11.54,30,449,1,1
15.11267,90,449,1,1
15.32,269,449,1,1
14.99,220,449,1,1
14.75,116,449,1,1
14.54,489,449,1,1
13.15,36,449,1,1
11.24,426,449,1,1
13.4695,160,449,1,1
14.25,83,449,1,1
13.14,150,449,1,1
10.92332,518,449,1,1
12.94,50,449,1,1
13.652,25,449,1,1
14.75,45,449,1,1
13.86,266,449,1,1
14.16,221,449,1,1
12.26,"2,350",449,1,1
14.45,73,449,1,1
16.03,7,449,1,1
11.42,127,449,1,1
13,116,449,1,1
14.20848,79,449,1,1
15.23,145,449,1,1
15.42,49,449,1,1
110.9,"6,490",449,5,10
11.09,40,449,1,1
28.96,305,449,1,1
14.96,544,449,1,1
14.82,24,449,1,1
13.06842,190,449,1,1
13.06,130,449,1,1
15.51419,117,449,1,1
15.9175,80,449,1,1
15.82,30,449,1,1
25.89306,324,449,1,1
15.94,293,449,1,1
16.19833,240,449,1,1
16.87,5,449,1,1
13.62,337,449,1,1
12.29733,273,449,1,1
14.99,20,449,1,1
14.7,156,449,1,1
11.15,25,449,1,1
13.58,218,449,1,1
13.39793,203,449,1,1
15.67,69,449,1,1
16.52,118,449,1,1
12.43,137,449,1,1
13.33,150,449,1,1
15.69,40,449,1,1
14.47529,85,449,1,1
16.51,33,449,1,1
13.52,45,449,1,1
13.71,25,449,1,1
13.71,15,449,1,1
12.55,1,449,1,1
15.89,40,449,1,1
107.58846,26,449,1,1
16.02,15,449,1,1
13.23,393,449,1,1
13.14,30,449,1,1
15.13125,160,449,1,1
15.03,6,449,4,1
15.03,54,449,1,1
14.84,109,449,1,1
14.25111,90,449,1,1
15.03,56,449,1,1
119.555,4,449,1,1
119.5,21,449,1,1
10.5,78,449,1,1
16.62,220,449,1,1
56.56,280,449,1,1
16.03,64,449,1,1
13.08,170,449,1,1
15.44,83,449,1,1
149.99,14,449,1,1
15.62,370,449,1,1
16.523,30,449,1,1
14.46714,56,449,1,1
13.26,307,449,1,1
13.23,91,449,1,1
14.51,80,449,1,1
26.73831,71,449,1,1
11.48,496,449,1,1
13.15,213,449,1,1
13.43257,70,449,1,1
134.2,90,449,5,10
13.98,211,449,1,1
11.42,120,449,1,1
15.17,128,449,1,1
14.25,47,449,1,1
11.71,20,449,1,1
14.83,108,449,1,1
15.2,40,449,1,1
16.2,40,449,1,1
14.99,79,449,1,1
15.54,43,449,1,1
12.93,170,449,1,1
14.99,84,449,1,1
10.42,151,449,1,1
25.03,632,449,1,1
14.74,331,449,1,1
14.43,730,449,1,1
11.15,50,449,1,1
11.15,10,449,1,1
11.33,96,449,1,1
14.42,52,449,1,1
14.26,160,449,1,1
70.015,40,449,1,1
699.9,100,449,5,10
10.16,230,449,1,1
45.055,100,449,1,1
13.1,478,449,1,1
16.03,100,449,1,1
14.55,87,449,1,1
10.7,253,449,1,1
13.6802,202,449,1,1
13.2549,245,449,1,1
15.39,68,449,1,1
16.19,240,449,1,1
130.42273,22,449,1,1
10.33,47,449,1,1
15.71243,148,449,1,1
16.59,50,449,1,1
15.48,"1,001",449,1,1
13.11767,86,449,1,1
15.8632,25,449,1,1
149.86667,15,449,1,1
16.39,123,449,1,1
14.46,215,449,1,1
14.5,28,449,1,1
14.29,14,449,1,1
22.99,9,449,1,1
0.01,432,449,1,1
16.19,360,449,1,1
1,20,449,1,1
76.923,20,449,1,1
0.01,180,449,1,1
10.9,116,449,1,1
14.99,204,449,1,1
13.15,223,449,1,1
0.1,200,449,1,1
14.252,120,449,1,1
13.17,8,449,1,1
13.15,3,449,1,1
13.15,10,449,1,1
13.15,15,449,1,1
0.05,20,449,1,1
0.1,25,449,1,1
0.05,20,449,1,1
1,20,449,1,1
0.1,10,449,1,1
0.1,20,449,1,1
0.08,25,449,1,1
13.55333,3,449,1,1
0,54,449,1,1
13.52,6,449,1,1
0,90,449,1,1
16.124,10,449,1,1
0,18,449,1,1
11.112,10,449,1,1
0,81,449,1,1
16.03,40,449,1,1
16.182,20,449,1,1
13.15,5,449,1,1
12.28,3,449,1,1
13.15,5,449,1,1
0,54,449,1,1
13.15,4,449,1,1
36.2055,20,449,1,1
13.11125,8,449,1,1
16.064,5,449,1,1
13.388,10,449,1,1
16.08615,13,449,1,1
160.86,10,449,5,10
14.99,20,449,1,1
14.211,20,449,1,1
12.989,10,449,1,1
16.59,10,449,1,1
13.15,40,449,1,1
13.515,10,449,1,1
0,657,449,1,1
13.52,5,449,1,1
0,90,449,1,1
0,90,449,1,1
0,27,449,1,1
0,9,449,1,1
0,54,449,1,1
16.12,30,449,1,1
0,54,449,1,1
13.55333,3,449,1,1
11.112,10,449,1,1
14.955,4,449,1,1
0,495,449,1,1
12.7,30,449,1,1
14.21,1,449,1,1
13.22667,3,449,1,1
13.52,5,449,1,1
14.06,5,449,1,1
15.97,1,449,1,1
14.22,1,449,1,1
0,36,449,1,1
13.16,3,449,1,1
16.5255,20,449,1,1
15.245,8,449,1,1
14.9896,25,449,1,1
14.99,20,449,1,1
48.61,6,449,1,1
48.61,5,449,1,1
14.06,20,449,1,1
48.61,5,449,1,1
14.9832,50,449,1,1
14.06,18,449,1,1
14.21667,3,449,1,1
48.61,6,449,1,1
14.25,4,449,1,1
14.25,6,449,1,1
48.61,8,449,1,1
13.15,1,449,1,1
48.61,5,449,1,1
13.15,27,449,1,1
14.25,5,449,1,1
48.61,10,449,1,1
48.61,2,449,1,1
48.61,3,449,1,1
48.61,10,449,1,1
48.61,12,449,1,1
0,720,449,1,1
0,720,449,1,1
149.9,13,449,1,1
16.064,10,449,1,1
1,1,449,1,1
16.03,20,449,1,1
165.23,3,449,1,1
16.19,30,449,1,1
149.9,2,449,1,1
16.523,20,449,1,1
16.03,30,449,1,1
149.9,1,449,1,1
16.523,40,449,1,1
16.124,100,449,1,1
16.523,20,449,1,1
16.03,30,449,1,1
16.064,60,449,1,1
16.523,70,449,1,1
161.24,5,449,1,1
16.03,50,449,1,1
14.252,50,449,1,1
149.9,2,449,1,1
16.064,20,449,1,1
16.124,10,449,1,1
16.19,50,449,1,1
16.19,70,449,1,1
16.124,80,449,1,1
16.03,100,449,1,1
16.064,80,449,1,1
16.124,120,449,1,1
16.124,120,449,1,1
16.124,70,449,1,1
16.064,100,449,1,1
16.064,230,449,1,1
16.124,120,449,1,1
16.03,40,449,1,1
16.523,120,449,1,1
16.064,100,449,1,1
149.9,90,449,5,10
16.124,100,449,1,1
160.3,8,449,1,1
16.064,70,449,1,1
16.124,100,449,1,1
16.19,60,449,1,1
16.124,180,449,1,1
13.15,80,449,1,1
16.523,100,449,1,1
16.064,150,449,1,1
10,1,449,1,1
16.064,50,449,1,1
161.9,3,449,1,1
16.124,40,449,1,1
14.99,130,449,1,1
14.252,50,449,1,1
161.9,8,449,1,1
16.03,50,449,1,1
160.3,6,449,1,1
16.124,80,449,1,1
161.24,5,449,1,1
16.19,30,449,1,1
16.523,10,449,1,1
16.523,50,449,1,1
160.3,3,449,1,1
14.99,30,449,1,1
16.19,40,449,1,1
14.252,20,449,1,1
16.523,30,449,1,1
14.99,10,449,1,1
16.19,90,449,1,1
16.19,40,449,1,1
149.9,1,449,1,1
16.523,100,449,1,1
16.523,50,449,1,1
16.19,50,449,1,1
16.03,50,449,1,1
14.252,100,449,1,1
16.124,50,449,1,1
16.124,20,449,1,1
16.124,100,449,1,1
14.99,10,449,1,1
16.124,50,449,1,1
14.252,40,449,1,1
16.19,30,449,1,1
16.03,20,449,1,1
14.252,30,449,1,1
14.99,50,449,1,1
16.064,100,449,1,1
16.523,20,449,1,1
16.19,40,449,1,1
16.19,50,449,1,1
16.523,20,449,1,1
16.124,20,449,1,1
16.124,20,449,1,1
16.124,40,449,1,1
14.252,100,449,1,1
16.19,50,449,1,1
16.124,70,449,1,1
16.124,120,449,1,1
16.124,20,449,1,1
16.523,100,449,1,1
16.523,50,449,1,1
16.064,400,449,1,1
16.064,10,449,1,1
16.03,40,449,1,1
14.99,400,449,1,1
16.064,50,449,1,1
16.124,50,449,1,1
16.19,200,449,1,1
14.99,100,449,1,1
16.19,100,449,1,1
16.124,60,449,1,1
131.5,6,449,1,1
16.124,400,449,1,1
16.03,120,449,1,1
16.03,100,449,1,1
16.124,100,449,1,1
14.252,40,449,1,1
14.99,100,449,1,1
13.15,180,449,1,1
142.52,3,449,1,1
16.124,100,449,1,1
16.03,50,449,1,1
13.15,190,449,1,1
16.523,180,449,1,1
161.24,13,449,1,1
14.99,50,449,1,1
16.03,20,449,1,1
13.15,380,449,1,1
16.523,320,449,1,1
16.064,50,449,1,1
13.15,150,449,1,1
14.99,400,449,1,1
14.99,100,449,1,1
13.15,80,449,1,1
13.15,20,449,1,1
13.15,400,449,1,1
16.19,100,449,1,1
14.99,20,449,1,1
16.523,50,449,1,1
14.99,80,449,1,1
13.15,600,449,1,1
16.124,"1,300",449,1,1
149.9,9,449,1,1
16.064,400,449,1,1
13.15,510,449,1,1
13.15,170,449,1,1
161.9,6,449,1,1
13.15,100,449,1,1
13.15,380,449,1,1
13.15,950,449,1,1
16.523,180,449,1,1
16.03,10,449,1,1
14.252,40,449,1,1
14.252,60,449,1,1
14.99,20,449,1,1
14.252,10,449,1,1
16.124,30,449,1,1
16.523,100,449,1,1
13.15,60,449,1,1
14.252,60,449,1,1
149.9,12,449,1,1
16.124,50,449,1,1
14.252,100,449,1,1
16.03,100,449,1,1
14.99,20,449,1,1
13.15,50,449,1,1
16.03,30,449,1,1
14.99,30,449,1,1
16.523,50,449,1,1
14.99,80,449,1,1
16.03,70,449,1,1
16.124,50,449,1,1
14.99,80,449,1,1
16.064,20,449,1,1
14.99,70,449,1,1
14.99,40,449,1,1
16.124,80,449,1,1
16.03,100,449,1,1
142.52,3,449,1,1
16.03,100,449,1,1
16.124,100,449,1,1
14.99,50,449,1,1
14.99,80,449,1,1
16.064,100,449,1,1
14.252,70,449,1,1
14.252,240,449,1,1
13.15,40,449,1,1
149.9,1,449,1,1
14.252,60,449,1,1
14.252,50,449,1,1
16.064,50,449,1,1
14.252,50,449,1,1
16.523,40,449,1,1
14.252,20,449,1,1
14.99,80,449,1,1
16.523,250,449,1,1
14.252,80,449,1,1
16.19,80,449,1,1
16.064,100,449,1,1
16.03,80,449,1,1
14.99,20,449,1,1
142.52,12,449,1,1
14.99,30,449,1,1
16.19,50,449,1,1
142.52,7,449,1,1
14.252,50,449,1,1
14.99,90,449,1,1
13.15,130,449,1,1
14.99,100,449,1,1
14.99,250,449,1,1
16.03,40,449,1,1
149.9,1,449,1,1
16.523,20,449,1,1
16.124,40,449,1,1
14.99,70,449,1,1
14.99,40,449,1,1
14.252,60,449,1,1
14.252,130,449,1,1
16.03,70,449,1,1
14.99,20,449,1,1
13.15,110,449,1,1
13.15,80,449,1,1
16.124,510,449,1,1
14.252,160,449,1,1
13.15,190,449,1,1
14.252,110,449,1,1
14.99,120,449,1,1
13.15,140,449,1,1
161.24,13,449,1,1
14.252,80,449,1,1
14.252,160,449,1,1
14.99,30,449,1,1
14.252,50,449,1,1
16.124,40,449,1,1
14.99,100,449,1,1
149.9,3,449,1,1
13.15,250,449,1,1
13.15,70,449,1,1
14.99,100,449,1,1
14.252,80,449,1,1
14.99,200,449,1,1
13.15,50,449,1,1
13.15,100,449,1,1
14.252,70,449,1,1
13.15,500,449,1,1
13.15,250,449,1,1
14.99,400,449,1,1
16.03,250,449,1,1
14.99,200,449,1,1
16.03,500,449,1,1
14.252,120,449,1,1
16.03,50,449,1,1
13.15,290,449,1,1
142.52,29,449,1,1
13.15,70,449,1,1
13.15,40,449,1,1
14.252,500,449,1,1
13.15,40,449,1,1
14.99,80,449,1,1
14.99,320,449,1,1
14.99,290,449,1,1
14.99,850,449,1,1
13.15,540,449,1,1
14.99,150,449,1,1
13.15,500,449,1,1
13.15,60,449,1,1
14.252,180,449,1,1
131.5,9,449,1,1
16.03,270,449,1,1
13.15,100,449,1,1
16.03,280,449,1,1
13.15,300,449,1,1
13.15,320,449,1,1
14.252,140,449,1,1
13.15,120,449,1,1
13.15,60,449,1,1
13.15,300,449,1,1
13.15,120,449,1,1
13.15,160,449,1,1
13.15,350,449,1,1
13.15,310,449,1,1
14.99,100,449,1,1
13.15,420,449,1,1
14.99,20,449,1,1
13.15,390,449,1,1
13.15,280,449,1,1
13.15,400,449,1,1
13.15,1.000,449,1,1
14.252,100,449,1,1
13.15,400,449,1,1
14.99,30,449,1,1
13.15,300,449,1,1
14.99,600,449,1,1
14.252,200,449,1,1
13.15,640,449,1,1
13.15,50,449,1,1
14.252,60,449,1,1
13.15,800,449,1,1
13.15,"1,260",449,1,1
13.15,950,449,1,1
16.03,100,449,1,1
16.523,20,449,1,1
16.124,10,449,1,1
16.064,20,449,1,1
16.523,20,449,1,1
16.19,20,449,1,1
14.252,30,449,1,1
13.15,40,449,1,1
16.124,10,449,1,1
16.064,20,449,1,1
16.19,50,449,1,1
16.03,10,449,1,1
16.124,20,449,1,1
14.252,30,449,1,1
16.19,30,449,1,1
16.124,50,449,1,1
16.03,10,449,1,1
14.99,50,449,1,1
16.124,60,449,1,1
16.19,30,449,1,1
142.52,7,449,1,1
16.03,10,449,1,1
16.19,30,449,1,1
16.19,20,449,1,1
165.23,10,449,1,1
16.523,50,449,1,1
16.124,30,449,1,1
16.124,40,449,1,1
16.19,40,449,1,1
16.523,100,449,1,1
14.252,80,449,1,1
16.03,100,449,1,1
16.19,100,449,1,1
16.19,30,449,1,1
16.19,40,449,1,1
14.99,300,449,1,1
16.19,250,449,1,1
16.03,30,449,1,1
16.124,200,449,1,1
16.124,40,449,1,1
14.252,20,449,1,1
14.252,60,449,1,1
16.523,160,449,1,1
16.124,100,449,1,1
14.252,50,449,1,1
14.99,100,449,1,1
16.523,100,449,1,1
16.523,90,449,1,1
13.15,120,449,1,1
161.9,30,449,1,1
13.15,120,449,1,1
16.19,10,449,1,1
16.19,100,449,1,1
14.99,20,449,1,1
14.252,200,449,1,1
13.15,400,449,1,1
14.252,400,449,1,1
13.15,600,449,1,1
16.03,600,449,1,1
13.15,120,449,1,1
13.15,500,449,1,1
13.15,60,449,1,1
13.15,150,449,1,1
13.15,150,449,1,1
13.15,500,449,1,1
13.15,800,449,1,1
13.15,"3,160",449,1,1
13.15,480,449,1,1
13.15,1.000,449,1,1
16.03,40,449,1,1
16.03,10,449,1,1
16.523,30,449,1,1
160.3,5,449,1,1
14.252,60,449,1,1
14.252,20,449,1,1
16.124,80,449,1,1
161.9,3,449,1,1
16.03,20,449,1,1
16.124,50,449,1,1
161.24,4,449,1,1
16.19,100,449,1,1
16.523,40,449,1,1
16.064,10,449,1,1
16.03,30,449,1,1
16.523,20,449,1,1
14.99,30,449,1,1
16.064,100,449,1,1
16.124,10,449,1,1
14.99,30,449,1,1
16.03,80,449,1,1
16.064,100,449,1,1
14.252,40,449,1,1
16.03,30,449,1,1
16.19,30,449,1,1
14.252,20,449,1,1
16.124,70,449,1,1
14.252,100,449,1,1
16.523,20,449,1,1
16.523,50,449,1,1
13.15,60,449,1,1
16.19,80,449,1,1
14.99,50,449,1,1
16.124,40,449,1,1
16.523,160,449,1,1
14.99,50,449,1,1
14.99,500,449,1,1
13.15,80,449,1,1
16.064,80,449,1,1
14.252,80,449,1,1
16.124,20,449,1,1
16.124,120,449,1,1
16.064,150,449,1,1
16.03,120,449,1,1
16.19,50,449,1,1
13.15,40,449,1,1
14.99,20,449,1,1
14.99,80,449,1,1
16.19,50,449,1,1
14.99,30,449,1,1
13.15,40,449,1,1
14.99,70,449,1,1
16.03,60,449,1,1
16.523,30,449,1,1
16.03,50,449,1,1
16.523,80,449,1,1
16.124,250,449,1,1
16.03,60,449,1,1
13.15,80,449,1,1
16.124,500,449,1,1
16.064,120,449,1,1
14.252,100,449,1,1
14.252,140,449,1,1
160.3,5,449,1,1
16.124,30,449,1,1
149.9,4,449,1,1
14.252,280,449,1,1
14.252,100,449,1,1
161.24,11,449,1,1
14.252,50,449,1,1
13.15,200,449,1,1
16.124,200,449,1,1
16.03,40,449,1,1
149.9,2,449,1,1
16.064,30,449,1,1
13.15,100,449,1,1
14.252,110,449,1,1
16.19,300,449,1,1
131.5,9,449,1,1
13.15,110,449,1,1
13.15,40,449,1,1
131.5,9,449,1,1
16.124,350,449,1,1
14.99,60,449,1,1
16.523,300,449,1,1
14.252,70,449,1,1
14.99,100,449,1,1
13.15,250,449,1,1
14.99,300,449,1,1
13.15,350,449,1,1
16.064,240,449,1,1
13.15,200,449,1,1
13.15,150,449,1,1
13.15,300,449,1,1
13.15,160,449,1,1
13.15,200,449,1,1
13.15,500,449,1,1
13.15,500,449,1,1
13.15,740,449,1,1
13.15,"3,000",449,1,1
13.15,700,449,1,1
13.15,500,449,1,1
13.15,240,449,1,1
14.252,360,449,1,1
